testCase_id,testcase_name,duration_sec,status,start_time,end_time,upload_time,time_since_last_run
10,PaintProSystem_ResetPosition {Autobot1},0.57,Passed,2025-06-14 18:48:16.383,2025-06-14 18:48:16.957,2025-06-14 19:30:38.471786,0 days 00:41:35.465899
11,PaintBotEdgeTolerance_Check {Autobot1},30.01,Passed,2025-05-28 18:09:15.133,2025-05-28 18:09:45.147,2025-05-28 18:09:59.009120,0 days 00:27:50.210766
11,PaintBotEdgeTolerance_Check {Autobot1},30.01,Passed,2025-05-28 19:50:35.993,,2025-05-28 19:51:28.860377,0 days 01:41:29.851257
11,PaintBotEdgeTolerance_Check {Autobot1},30.0,Passed,2025-05-28 20:28:29.780,2025-05-28 20:28:59.783,2025-05-28 20:29:13.794312,0 days 00:37:44.933935
11,PaintBotEdgeTolerance_Check {Autobot1},30.01,Passed,2025-05-29 11:22:52.240,2025-05-29 11:23:22.247,2025-05-29 11:23:31.554738,0 days 14:54:17.760426
11,PaintBotEdgeTolerance_Check {Autobot1},30.0,Passed,2025-05-31 19:58:29.113,2025-05-31 19:58:59.117,2025-05-31 19:59:15.025899,2 days 08:35:43.471161
11,PaintBotEdgeTolerance_Check {Autobot1},30.0,Passed,2025-05-31 21:04:14.267,2025-05-31 21:04:44.270,2025-05-31 21:04:56.386581,0 days 01:05:41.360682
11,PaintBotEdgeTolerance_Check {Autobot1},30.0,Passed,2025-05-31 21:28:11.387,2025-05-31 21:28:41.387,2025-05-31 21:28:58.467991,0 days 00:24:02.081410
11,PaintBotEdgeTolerance_Check {Autobot1},30.0,Passed,2025-05-31 21:28:11.387,2025-05-31 21:28:41.387,2025-05-31 22:11:03.305616,0 days 00:42:04.837625
11,PaintBotEdgeTolerance_Check {Autobot1},30.0,Passed,2025-05-31 22:14:37.160,2025-05-31 22:15:07.163,2025-05-31 22:15:21.143013,0 days 00:04:17.837397
11,PaintBotEdgeTolerance_Check {Autobot1},30.0,Passed,2025-05-31 22:14:37.160,2025-05-31 22:15:07.163,2025-05-31 22:57:26.957887,0 days 00:42:05.814874
11,PaintBotEdgeTolerance_Check {Autobot1},30.01,Passed,2025-05-31 23:05:54.357,2025-05-31 23:06:24.367,2025-05-31 23:06:34.821136,0 days 00:09:07.863249
11,PaintBotEdgeTolerance_Check {Autobot1},30.01,Passed,2025-05-31 23:05:54.357,2025-05-31 23:06:24.367,2025-05-31 23:43:36.653786,0 days 00:37:01.832650
11,PaintBotEdgeTolerance_Check {Autobot1},30.01,Passed,2025-05-31 23:46:57.567,2025-05-31 23:47:27.577,2025-05-31 23:47:43.064834,0 days 00:04:06.411048
11,PaintBotEdgeTolerance_Check {Autobot1},30.01,Passed,2025-05-31 23:46:57.567,2025-05-31 23:47:27.577,2025-06-01 00:29:38.277543,0 days 00:41:55.212709
11,PaintBotEdgeTolerance_Check {Autobot1},30.01,Passed,2025-06-01 00:32:53.200,2025-06-01 00:33:23.207,2025-06-01 00:33:34.641819,0 days 00:03:56.364276
11,PaintBotEdgeTolerance_Check {Autobot1},30.01,Passed,2025-06-01 00:32:53.200,2025-06-01 00:33:23.207,2025-06-01 01:15:38.893018,0 days 00:42:04.251199
11,PaintBotEdgeTolerance_Check {Autobot1},30.02,Passed,2025-06-01 02:28:01.167,2025-06-01 02:28:31.183,2025-06-01 02:28:40.296515,0 days 01:13:01.403497
11,PaintBotEdgeTolerance_Check {Autobot1},30.01,Passed,2025-06-01 02:39:41.953,2025-06-01 02:40:11.960,2025-06-01 02:40:26.844903,0 days 00:11:46.548388
11,PaintBotEdgeTolerance_Check {Autobot1},30.01,Passed,2025-06-01 11:39:35.787,2025-06-01 11:40:05.797,2025-06-01 11:40:13.832875,0 days 08:59:46.987972
11,PaintBotEdgeTolerance_Check {Autobot1},30.01,Passed,2025-06-01 11:39:35.787,2025-06-01 11:40:05.797,2025-06-01 13:02:51.361778,0 days 01:22:37.528903
11,PaintBotEdgeTolerance_Check {Autobot1},0.0,Aborted,2025-06-01 13:03:47.977,2025-06-01 13:03:47.977,2025-06-01 15:18:01.599881,0 days 02:15:10.238103
11,PaintBotEdgeTolerance_Check {Autobot1},0.0,Aborted,2025-06-01 13:03:47.977,2025-06-01 13:03:47.977,2025-06-01 15:18:02.077662,0 days 00:00:00.477781
11,PaintBotEdgeTolerance_Check {Autobot1},30.01,Passed,2025-06-02 07:01:48.467,2025-06-02 07:02:18.480,2025-06-02 07:02:30.542969,0 days 15:44:28.465307
11,PaintBotEdgeTolerance_Check {Autobot1},30.01,Passed,2025-06-02 07:01:48.467,2025-06-02 07:02:18.480,2025-06-02 08:45:42.188058,0 days 01:43:11.645089
11,PaintBotEdgeTolerance_Check {Autobot1},30.01,Passed,2025-06-02 08:49:07.263,2025-06-02 08:49:37.277,2025-06-02 08:49:48.859402,0 days 00:04:06.671344
11,PaintBotEdgeTolerance_Check {Autobot1},30.01,Passed,2025-06-02 09:18:55.490,2025-06-02 09:19:25.497,2025-06-02 09:19:47.842832,0 days 00:29:58.983430
11,PaintBotEdgeTolerance_Check {Autobot1},0.0,,2025-06-02 15:37:20.930,2025-06-02 15:37:20.930,2025-06-02 15:39:08.934693,0 days 06:19:21.091861
11,PaintBotEdgeTolerance_Check {Autobot1},0.0,,2025-06-02 15:49:19.597,2025-06-02 15:49:19.597,2025-06-02 15:51:06.508119,0 days 00:11:57.573426
11,PaintBotEdgeTolerance_Check {Autobot1},30.01,Passed,2025-06-02 16:01:24.607,2025-06-02 16:01:54.617,2025-06-02 16:02:09.682856,0 days 00:11:03.174737
11,PaintBotEdgeTolerance_Check {Autobot1},30.0,Passed,2025-06-02 16:44:24.203,2025-06-02 16:44:54.207,2025-06-02 16:45:05.291192,0 days 00:42:55.608336
11,PaintBotEdgeTolerance_Check {Autobot1},30.01,Passed,2025-06-10 15:43:51.057,2025-06-10 15:44:21.067,2025-06-10 15:44:31.809218,7 days 22:59:26.518026
11,PaintBotEdgeTolerance_Check {Autobot1},30.0,Passed,2025-06-10 16:12:56.027,2025-06-10 16:13:26.027,2025-06-10 16:13:40.874441,0 days 00:29:09.065223
